DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL
2006-12-14 21:15:00,172.49,54.253,217.067,147.237,1322.52,421.797,105.725,92.81,163.367,305.725,100.795,164.2,200.362,177.558,201.792,201.182,112.364
2006-12-14 21:20:00,174.048,54.097,213.233,149.373,1330.74,420.707,,93.762,159.117,304.27,99.968,163.4,199.428,178.076,201.044,201.182,112.27
2006-12-14 21:25:00,170.644,54.627,214.1,149.103,1341.0,422.383,,95.164,161.633,305.917,101.7,162.92,200.5,177.17,204.138,201.468,113.388
2006-12-14 21:30:00,173.14,54.243,214.233,148.26,1335.34,424.076,105.087,92.598,159.707,303.976,100.0,164.78,200.994,177.462,203.286,200.752,114.464
2006-12-14 21:35:00,171.138,54.207,212.9,144.877,1334.18,422.833,,91.95,163.447,300.846,99.761,164.62,201.494,178.16,202.848,200.092,113.3
2006-12-14 21:40:00,173.736,53.513,216.5,146.917,1334.7,425.55,,92.704,163.277,303.661,101.355,164.1,201.208,177.95,200.32,199.224,114.442
2006-12-14 21:45:00,173.526,53.907,214.3,148.613,1335.28,423.723,106.12,92.616,161.713,304.22,99.55,164.14,200.952,180.122,202.582,201.134,113.914
2006-12-14 21:50:00,173.77,53.537,215.767,146.957,1334.32,425.147,,92.55,161.014,303.435,99.361,165.52,198.488,180.052,199.808,199.986,111.87
2006-12-14 21:55:00,171.272,54.6,214.033,146.873,1346.08,421.343,,93.162,160.82,303.877,101.0,163.4,197.628,179.682,200.878,200.784,112.388
2006-12-14 22:00:00,174.148,53.56,214.6,147.613,1343.74,422.647,105.883,94.112,161.197,302.851,99.915,164.74,197.3,178.266,202.144,201.724,112.662
2006-12-14 22:05:00,172.6,53.997,214.7,147.983,1339.62,422.263,,93.202,160.59,302.598,100.977,164.1,200.338,178.582,199.732,200.616,112.648
2006-12-14 22:10:00,173.522,54.057,214.2,146.24,1326.64,424.357,,92.012,161.11,302.878,101.689,164.0,196.856,178.708,198.858,198.966,112.024
2006-12-14 22:15:00,174.172,53.987,214.4,146.19,1328.64,424.157,107.181,92.33,162.49,300.275,99.866,162.7,196.022,177.94,199.042,197.428,112.632
2006-12-14 22:20:00,172.416,53.46,213.933,146.953,1325.96,422.61,,93.464,162.31,300.733,100.871,162.88,196.712,178.914,198.322,199.384,113.282
2006-12-14 22:25:00,174.484,54.38,213.833,145.877,1324.32,427.52,,93.026,161.233,297.431,101.387,164.5,198.2,180.168,199.032,197.59,113.13
2006-12-14 22:30:00,169.458,54.043,212.333,146.78,1329.78,425.39,105.74,90.948,160.73,301.33,101.108,164.3,198.104,179.964,196.66,199.184,112.848
2006-12-14 22:35:00,173.342,53.11,215.367,148.507,1334.62,424.44,,93.28,160.207,301.667,99.669,163.48,197.95,178.202,197.544,196.836,113.35
2006-12-14 22:40:00,171.316,55.29,217.633,148.46,1340.84,426.087,,93.234,160.303,296.904,101.148,163.76,194.458,179.932,196.714,198.688,113.054
2006-12-14 22:45:00,172.786,51.957,214.933,148.027,1338.26,426.143,105.716,94.25,160.627,297.801,100.65,162.66,196.93,177.748,199.902,198.06,113.432
2006-12-14 22:50:00,173.39,53.523,214.133,145.827,1343.0,421.04,,93.13,160.827,296.965,99.751,164.56,198.604,179.446,197.82,196.234,112.692
2006-12-14 22:55:00,172.628,53.867,212.567,146.317,1336.34,417.863,,92.188,161.21,301.149,99.323,162.68,198.586,180.02,198.512,198.576,112.356
2006-12-14 23:00:00,172.476,54.113,214.467,143.753,1321.9,415.6,104.966,91.866,160.117,295.454,100.606,163.42,196.556,178.012,198.542,195.386,112.15
2006-12-14 23:05:00,172.384,53.793,211.967,145.197,1328.4,414.757,,92.632,160.977,296.221,99.079,161.12,199.308,177.878,196.888,195.384,112.488
